Neuron,NonNeuronal
Myt1l,Prpf4b
Phf24,Prrc2c
Nanos1,Prrx2
Nanos2,Prss35
Nap1l2,Prss45
Nap1l3,Psd2
Napb,Psph
Nasp,Ptar1
Nbea,Ptch1
Ncapg,Ptch2
Nck2,Ptdss2
Ncoa2,Ptn
Ncs1,Ptp4a1
Ndn,Hacd3
Ndrg4,Hacd2
Ndst3,Ptpmt1
Ndst4,Ptpn13
Ndufa1,Ptpra
Ndufaf6,Ptprf
Neb,Ptprz1
Necab1,Ptx3
Nedd4l,Pxmp2
Nefh,Pxmp4
Negr1,Pygb
Nell1,Pyroxd1
Nell2,Rab30
Neurod1,Rab34
Neurod2,Ranbp3l
Neurod6,Rapgef3
Nfib,Rarres1
Nfix,Rasa2
Ngfr,Rasgrf1
Slc9b2,Rasgrp1
Nhlh1,Rasl11a
Nhlh2,Rasl11b
Nipsnap1,Raver2
Nkx2-1,Rb1
Nmbr,Rbm20
Nnat,Rbm25
Nnmt,Rbm26
Noa1,Rbm46
Nol4,Rbpms2
Nos1,Rcn2
Nosip,Rdh5
Ccn3,Retsat
Nova2,Rftn2
Npas4,Rfx4
Npcd,Rfx5
Npffr1,Rgma
Npnt,Rgs20
Nppc,Rgs22
Nptx1,Rgs7
Nptxr,Rhbdf1
Npy,Rhcg
Npy1r,Rhoq
Npy2r,Riiad1
Nr1h4,Rmnd1
Nr2f2,Rmst
Nrde2,Rnf215
Nrg1,Rnf24
Nrg3,Romo1
Nrip3,Ror2
Nrn1,Rorb
Nrsn2,Rsad1
Nrxn3,Rsph1
Nsd1,Rsph4a
Nsf,Rsph9
Nsg1,Rtn3
Nsg2,Rufy4
Nsrp1,S1pr1
Nt5c1a,Sag
Nt5dc2,Sall3
Nt5dc3,Sar1b
Ntn5,Sardh
Ntng2,Sash1
Ntrk1,Msmo1
Nts,Scara3
Ntsr1,Scd2
Numbl,Scd3
Nup35,Scg3
Nxnl2,Scp2
Nxph2,Sctr
Nxph3,Sdsl
Nxph4,Sec14l2
Nyx,Sema3b
Ociad2,Sema6d
Tenm1,Senp1
Tenm4,Septin11
Ogt,Septin9
Olfm1,Serhl
Olfm3,Sfrp1
Olfr315,Sfrp5
Olfr317,Pnisr
Opn3,Sfxn1
Oprd1,Sfxn2
Oprk1,Sfxn5
Oprm1,Sh3bgrl2
Osbpl5,Sh3pxd2b
Oscar,Sigmar1
Oxtr,Six5
P2rx5,Slc10a1
Pacsin1,Slc12a4
Pak3,Slc13a1
Pak6,Slc13a3
Pak7,Slc13a5
Pakap,Slc14a1
Palm3,Slc14a2
Panx2,Slc15a2
Pappa2,Slc1a2
Paqr9,Slc1a3
Parp6,Slc1a4
Patz1,Slc20a1
Pax6,Slc20a2
Paxbp1,Slc22a12
Pbk,Slc22a4
Pbrm1,Slc25a18
Pbx1,Slc25a21
Pbx3,Slc25a34
Pcbp3,Slc25a42
Pcdh17,Slc25a48
Pcdha1,Slc26a5
Pcdha12,Slc26a6
Pcdha2,Slc27a1
Pcdha3,Slc2a10
Pcdha4,Slc2a4
Pcdha5,Slc30a10
Pcdha6,Slc38a3
Pcdha7,Slc39a12
Pcdhac2,Slc39a14
Pcdhgc4,Slc41a1
Pcgf2,Slc44a3
Pcp4,Slc4a4
Pcsk1,Slc6a1
Pcsk5,Slc6a11
Pdcd1lg2,Slc6a17
Pde1a,Slc6a9
Pde4a,Slc7a10
Pde4dip,Slc7a11
Pdp1,Slc7a2
Pdxp,Slc9a3r1
Pdzd2,Slitrk2
Pdzd4,Smc4
Pdzd7,Smc5
Peg10,Smdt1
Peg3,Smg1
Peli3,Smim8
Penk,Smo
Pfdn1,Smpd2
Pfdn6,Smyd1
Pgbd5,Sncaip
Pgf,Sned1
Pgm2l1,Snhg3
Pgr,Snora28
Pgrmc1,Snora2b
Phc1,Snta1
Phc2,Sntb1
Phc3,Soat1
Phf14,Son
Phf20l1,Sorbs1
Phf8,Sorcs2
Phip,Sorl1
Pias2,Sox2
Pias4,Sox21
Pik3c2g,Sox9
Pip4k2b,Sp5
Pip5kl1,Sp6
Pisd-ps1,Spag1
Pitpnm2,Spag8
Pitpnm3,Spag9
Piwil2,Sparcl1
Pkib,Spata17
Pla2g4e,Spata18
Pla2g4f,Spata22
Plcd3,Spata3
Plch2,Spire1
Plcxd2,Spry2
Plcxd3,Sptan1
Plcz1,Sqle
Plek2,Srebf1
Plekha5,Srek1
Plekha7,Srrm2
Plg,Srsf10
Plin5,Srsf11
Plxna2,Srsf5
Pnck,Itprid2
Pnma1,St6galnac5
Pnma2,Stk17b
Pnoc,Stk36
Pogz,Stk38l
Pola1,Ston2
Pola2,Stt3b
Polr2d,Suclg2
Pomgnt2,Suox
Popdc3,Sybu
Pou3f4,Sycp2
Pou4f1,Syne1
Pou6f2,Synm
Ppargc1b,Synpo2
Ppfia2,Sypl2
Ppfia4,Syt11
Ppif,Taco1
Ppifos,Taf1
Ppm1d,Tagln
Ppm1e,Tank
Ppp1r1b,Tbc1d10a
Ppp1r3f,Tbce
Ppp3cb,Tfap2c
Pqbp1,Tctn3
Pqlc3,Tead1
Prdm8,Tectb
Prepl,Tekt1
Prim1,Tekt4
Prkacb,Tekt5
Prkar1b,Tet2
Prkar2b,Tex9
Prkcg,Tgfb2
Prkce,Thbs1
Prkcg,Thbs4
Prkrip1,Them4
Prlhr,Thoc1
Prmt8,Thoc2
Prokr2,Timm21
Prox1,Timp3
