Gene Symbol,Negative logP
FOXA3,2.590404981
FNBP1L,1.51609904
LIN7C,1.986614982
HCAR3,1.395190958
DUSP26,1.583775683
SLC29A4,2.830531302
JPH2,1.452680743
AMN,1.364104271
BFSP1,1.680581611
DND1,2.143095977
PRCC,1.53344376
STX1B,1.771137871
NRN1,1.441543441
NR2C1,1.866684683
SLC2A12,1.355975221
VOPP1,1.33906815
CREB5,2.046109895
ERLIN1,1.682124622
RFX4,2.767639288
NTM,1.770779056
SEPT12,1.982257336
EIF4G3,2.877030906
BTN1A1,1.359250317
PSG9,1.354067096
CRIP2,2.368322911
CHST4,2.342217742
AP4M1,1.97118483
TRIT1,3.659080207
CDYL,1.368789676
ARAP3,1.558744879
HPS5,1.842603681
WIPI2,2.228544812
ENO3,1.471597562
DIS3L2,2.330255545
MUC8,2.708342604
SH2D1B,1.605793555
CREB3L3,1.627474618
ENTPD3,2.24842069
YTHDC2,2.653295038
CPNE3,1.608535588
ATF6B,2.426756968
CHST15,2.139422449
AGPAT1,2.406182469
SLC9A8,2.09657899
NME8,2.766420143
NDUFB9,2.066948237
MAP6,1.497067863
NAT8,1.314706219
PTCH2,2.109444857
SLC35C1,2.002146367
BLOC1S1,1.415035891
DTNB,2.089535684
CLPTM1,18.25069665
ATP5PD,3.7780644
TMPRSS11A,3.395514744
LILRA1,1.312783272
PPP1R11,1.413457702
EMG1,1.642027059
ADAMTS14,1.559909926
OTULIN,3.741458493
YBX2,1.68296097
ART3,1.448867299
NVL,1.86780437
CYB561,3.970048358
L3MBTL2,1.917609622
ZC3H14,2.110378998
GJC3,2.323434412
NPTX1,1.508414212
HTR3C,1.386380137
TAS2R1,1.47598056
ARFIP2,2.182963774
ODAM,1.59311933
NFE2L3,4.394597976
GPR87,1.351864514
CDK20,1.629098495
KIF21B,4.855674922
ARPP19,1.600153287
GPSM3,3.01073266
MTMR4,1.802498904
KDM3B,1.72551886
BCKDK,1.568121821
PTPN21,2.59118362
SPATA2,1.380510139
POLR3D,2.184953824
GBP5,2.037858054
MRAP2,1.320644795
